person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,loan_intent_encoded,person_home_ownership_encoded,loan_grade_encoded,cb_person_default_on_file_encoded
24,83000,50.0,25000,1292.0,0,3,3,4,3,3,1
24,180000,80.0,18000,1864.0,0,1,4,1,3,4,1
23,180000,80.0,28000,751.0,0,16,3,4,0,0,0
23,14400,20.0,4000,167.0,1,28,2,2,2,4,0
22,14400,0.0,2100,1114.0,0,15,4,4,2,1,0
22,84500,60.0,25000,183.0,0,3,4,4,3,5,0
24,85000,50.0,25000,1062.0,0,29,4,3,3,1,0
24,180000,70.0,14000,1199.0,0,8,2,5,0,1,0
26,180000,20.0,12000,963.0,0,7,4,5,0,1,0
25,142800,90.0,10000,1825.0,1,6,4,3,0,5,0
24,87000,80.0,25000,1484.0,0,29,3,2,3,3,0
24,75000,0.0,25000,147.0,1,33,3,5,3,4,1
23,76000,70.0,25000,1602.0,1,33,4,0,3,3,0
23,66215,10.0,25000,1537.0,1,32,2,3,3,3,1
25,90000,90.0,25000,1099.0,0,28,4,3,3,1,0
21,15000,0.0,6200,79.0,1,41,2,2,2,0,0
26,180000,20.0,25000,1099.0,0,14,4,4,2,1,0
24,180000,80.0,21000,1148.0,0,12,3,1,2,1,0
25,180000,90.0,20000,1426.0,0,11,4,3,2,2,1
26,180000,0.0,10000,80.0,0,6,4,2,2,0,0
25,180000,30.0,9950,1126.0,0,6,2,5,0,1,0
23,78000,20.0,25000,1632.0,1,32,3,5,3,3,1
25,66300,30.0,25000,1793.0,1,32,4,3,3,4,1
23,90000,0.0,25000,1136.0,0,28,3,0,3,1,0
24,79000,90.0,25000,1496.0,1,32,4,0,3,3,1
24,91800,40.0,25000,1343.0,0,27,3,4,3,2,1
25,92000,60.0,25000,1269.0,0,27,3,2,3,1,0
24,92000,10.0,25000,1273.0,0,27,4,5,3,2,1
23,93600,30.0,25000,1521.0,0,27,4,5,3,3,0
23,15000,10.0,1750,1268.0,0,12,3,3,0,2,1
23,70550,30.0,25000,1904.0,1,3,4,3,3,5,1
25,83800,20.0,25000,1595.0,1,3,3,0,3,3,1
26,175000,30.0,2600,89.0,0,1,4,5,0,0,0
25,175000,100.0,8000,79.0,0,5,2,2,0,0,0
23,175000,80.0,21000,1199.0,0,12,3,4,0,1,0
23,15000,40.0,4000,1398.0,1,27,4,0,2,2,0
23,15000,40.0,4600,1099.0,1,31,2,5,2,1,0
22,88000,60.0,25000,1558.0,1,28,2,0,3,3,1
25,74800,20.0,25000,1099.0,1,28,2,3,3,1,0
25,88000,0.0,25000,1496.0,1,28,4,5,3,3,0
25,15000,20.0,1750,1531.0,0,12,4,2,2,3,1
26,88000,20.0,25000,1565.0,1,28,3,5,3,3,0
25,100000,10.0,25000,933.0,0,25,4,5,3,1,0
23,15000,0.0,3600,1347.0,1,24,4,4,0,2,0
24,102400,80.0,25000,1036.0,0,24,3,4,3,1,0
24,92000,10.0,25000,1677.0,1,27,4,2,3,4,1
23,93000,0.0,25000,1459.0,1,27,2,0,3,3,1
22,175000,60.0,3500,1191.0,0,2,2,5,3,2,1
23,175000,30.0,7200,838.0,0,4,3,1,0,0,0
25,174708,90.0,9000,1059.0,0,5,3,5,3,1,0
25,174000,20.0,8800,1427.0,0,5,3,0,0,2,0
26,174000,80.0,12000,1253.0,0,7,4,0,3,1,0
25,162000,50.0,25000,160.0,1,15,3,0,0,4,1
26,173467,100.0,10000,1171.0,0,6,4,5,0,1,0
21,15000,0.0,3175,1154.0,1,21,3,2,2,2,1
25,96000,20.0,25000,1568.0,1,26,4,2,3,4,1
21,15120,0.0,1500,1059.0,0,1,2,1,0,1,0
24,97908,80.0,25000,1261.0,1,26,2,2,3,3,1
23,15204,70.0,2800,849.0,1,18,3,4,0,0,0
25,159600,0.0,30000,1727.0,1,19,4,4,3,3,1
24,171500,60.0,18000,89.0,0,1,4,0,3,0,0
25,170004,30.0,10000,1111.0,0,6,4,3,0,1,0
24,158004,0.0,25000,1459.0,1,16,2,2,3,3,1
26,170000,0.0,13000,1242.0,0,8,3,5,3,1,0
24,110000,70.0,25000,157.0,0,23,2,2,3,3,1
22,15360,70.0,2500,1253.0,1,16,3,2,2,1,0
25,134300,30.0,5000,1649.0,1,3,2,3,3,3,0
25,170000,20.0,20000,749.0,0,12,2,1,0,0,0
22,100580,60.0,25000,1496.0,1,25,2,0,3,3,1
25,113000,70.0,25000,1273.0,0,22,4,3,3,2,1
24,120000,80.0,25000,1065.0,0,21,4,1,3,1,0
25,120000,60.0,25000,1074.0,0,21,2,3,3,1,0
23,120000,70.0,25000,999.0,0,21,2,1,3,1,0
24,91800,50.0,25000,1533.0,1,23,2,3,3,3,1
21,15600,50.0,1000,729.0,0,6,4,5,2,0,0
26,108000,20.0,25000,1505.0,1,23,3,4,3,3,0
26,129996,60.0,25000,1075.0,0,19,3,4,3,1,0
23,130000,40.0,25000,1602.0,0,19,2,1,3,3,1
23,130000,70.0,25000,1149.0,0,19,4,5,3,1,0
25,170000,40.0,20000,1253.0,0,12,4,1,2,1,0
26,170000,0.0,12000,1357.0,0,7,2,5,0,2,1
22,169000,10.0,14000,1114.0,0,8,3,4,3,1,0
26,168750,100.0,24250,1287.0,0,14,3,3,3,2,1
23,168600,30.0,20000,1158.0,0,12,3,1,3,1,0
24,168288,50.0,1800,1112.0,0,1,3,2,3,1,0
25,168000,20.0,35000,1065.0,0,21,2,4,0,1,0
24,133300,60.0,25000,1037.0,0,19,2,0,3,1,0
24,15600,50.0,3300,639.0,1,21,4,2,2,0,0
24,134000,80.0,25000,1607.0,0,19,3,4,3,3,1
25,134000,70.0,25000,1062.0,0,19,2,3,3,1,0
25,15600,0.0,3200,1809.0,1,21,2,5,2,5,0
25,135000,50.0,25000,1136.0,0,19,4,1,3,1,0
26,135660,100.0,25000,1253.0,0,18,4,0,3,1,0
25,145000,0.0,25000,999.0,0,17,4,1,3,1,0
23,150000,40.0,25000,1036.0,0,17,3,1,3,1,0
23,165000,30.0,9600,599.0,0,6,3,1,0,0,0
22,153000,50.0,24000,1562.0,1,16,2,0,0,3,1
24,165000,50.0,20000,1037.0,0,12,4,4,0,1,0
25,165000,0.0,25000,1974.0,0,15,4,2,0,5,0
21,165000,50.0,20000,691.0,0,12,4,1,0,0,0
23,16000,70.0,6000,79.0,1,38,2,3,2,0,0
23,16000,30.0,2275,1306.0,0,14,4,0,0,2,1
23,16000,70.0,2000,639.0,0,13,3,4,2,0,0
23,148000,10.0,25000,1493.0,1,17,3,0,3,4,0
23,16000,10.0,5600,1284.0,1,35,4,3,0,2,0
24,16020,30.0,3625,1714.0,1,23,2,5,2,4,1
22,16094,20.0,5500,714.0,1,34,3,5,0,0,0
25,175000,20.0,25000,89.0,0,14,2,4,3,0,0
22,16200,60.0,2000,1242.0,0,12,3,4,2,1,0
24,185000,70.0,25000,1268.0,0,14,2,2,3,2,1
25,162000,90.0,25000,1103.0,0,15,2,4,3,2,0
26,161000,100.0,30000,79.0,0,19,4,5,3,0,0
22,160000,0.0,35000,1065.0,0,22,4,3,0,1,0
25,225000,50.0,25000,1186.0,0,11,4,5,3,1,0
25,16400,10.0,5000,894.0,1,3,4,4,2,0,0
23,16500,60.0,4375,963.0,1,27,4,5,2,1,0
25,49500,60.0,24750,1422.0,1,5,3,4,3,2,0
23,60000,40.0,24750,933.0,1,41,3,0,3,1,0
24,84200,80.0,24500,1385.0,0,29,4,3,3,2,0
22,16800,50.0,2000,1065.0,0,12,2,1,0,1,0
24,92000,80.0,24500,1146.0,0,27,4,3,3,1,0
23,160000,50.0,35000,766.0,0,22,2,4,0,0,0
24,160000,90.0,12000,1677.0,0,7,4,5,0,4,0
25,160000,10.0,12000,963.0,0,7,4,4,0,1,0
26,160000,60.0,25000,1223.0,0,16,4,4,3,2,1
25,125800,0.0,10000,1409.0,1,7,4,3,0,3,0
25,54000,20.0,24250,1398.0,1,45,4,4,3,2,0
23,62500,10.0,24250,1062.0,1,39,4,1,3,1,0
25,68400,90.0,24250,1756.0,1,35,4,4,3,4,0
26,56045,10.0,24250,1496.0,1,37,2,3,3,3,0
22,74000,70.0,24250,1565.0,1,33,2,0,3,3,1
24,65453,90.0,24250,157.0,1,31,2,3,3,3,0
24,89908,10.0,24250,1253.0,0,27,3,5,3,1,0
26,78000,0.0,24250,1756.0,1,31,3,2,3,4,1
23,100000,0.0,24250,1287.0,0,24,2,4,3,2,1
23,103000,60.0,24250,157.0,0,24,2,4,3,3,0
25,160000,50.0,15000,1114.0,0,9,4,5,2,1,0
24,160000,30.0,20000,160.0,0,13,3,5,0,3,0
23,160000,20.0,25000,1565.0,0,16,2,1,0,3,1
21,160000,30.0,15250,1531.0,0,1,4,5,0,3,1
25,160000,30.0,20000,1347.0,0,13,2,5,0,2,1
22,16800,0.0,4750,1385.0,1,28,2,2,0,2,1
21,16800,0.0,6000,1039.0,1,36,4,5,0,1,0
25,115200,0.0,24250,1136.0,0,21,2,2,3,1,0
23,144000,0.0,24250,1183.0,0,17,3,1,3,1,0
23,287000,30.0,24250,1253.0,0,8,3,1,3,1,0
22,108000,10.0,24150,1496.0,1,22,3,2,3,3,1
22,43000,70.0,24000,1385.0,1,56,3,0,3,2,1
23,47004,10.0,24000,1158.0,1,51,4,5,3,1,0
24,48000,40.0,24000,1629.0,1,5,2,5,3,3,1
21,44964,20.0,24000,1629.0,1,53,2,1,3,3,1
24,47000,30.0,24000,178.0,1,51,2,4,3,5,0
22,17400,60.0,1000,1136.0,0,6,2,5,0,1,0
22,49000,20.0,24000,1756.0,1,49,4,3,3,4,0
26,60000,0.0,24000,79.0,1,4,4,4,3,0,0
25,60000,30.0,24000,1099.0,1,4,4,4,3,1,0
22,60000,0.0,24000,729.0,1,4,3,4,3,0,0
21,60000,50.0,24000,1075.0,1,4,2,3,3,1,0
26,62004,90.0,24000,79.0,1,39,3,0,3,0,0
22,62400,30.0,24000,1484.0,1,38,2,1,3,3,0
23,59000,50.0,24000,1969.0,1,41,2,0,3,4,1
24,60000,0.0,24000,1496.0,1,4,4,5,3,3,0
25,66143,90.0,24000,699.0,1,36,3,1,3,0,0
22,62250,30.0,24000,1645.0,1,39,4,4,3,4,1
24,70000,80.0,24000,1099.0,1,34,4,1,3,1,0
23,74000,70.0,24000,1099.0,1,32,2,0,3,1,0
22,18000,30.0,3000,79.0,1,17,4,4,2,0,0
22,75000,60.0,24000,1269.0,1,32,4,1,3,1,0
24,75000,90.0,24000,1037.0,1,32,3,3,3,1,0
26,69000,0.0,24000,1583.0,1,35,3,0,3,5,0
23,78000,40.0,24000,1392.0,1,31,3,4,3,2,0
24,80000,20.0,24000,1025.0,0,3,2,3,3,1,0
22,18000,10.0,3500,749.0,1,19,4,2,2,0,0
23,18000,30.0,4000,599.0,1,22,2,1,2,0,0
23,74700,60.0,24000,1292.0,1,32,2,4,3,3,0
26,88596,30.0,24000,1158.0,0,27,3,4,3,1,0
25,95000,40.0,24000,89.0,0,25,2,1,3,0,0
22,83000,60.0,24000,1969.0,1,29,3,0,3,4,0
25,95000,90.0,24000,654.0,0,25,4,5,3,0,0
21,18000,30.0,4900,1454.0,1,27,4,2,2,3,1
26,100000,50.0,24000,1273.0,0,24,4,4,3,2,0
24,110000,70.0,24000,1562.0,0,22,4,5,3,3,0
24,18000,0.0,6250,654.0,1,35,4,2,2,0,0
26,103872,60.0,24000,2003.0,1,23,4,0,3,6,0
22,120000,40.0,24000,991.0,0,2,4,1,3,1,0
24,120000,10.0,24000,1269.0,0,2,4,5,3,1,0
26,108000,90.0,24000,2016.0,1,22,3,1,3,6,0
24,124080,40.0,24000,1649.0,0,19,4,4,3,3,1
23,18000,10.0,2500,1595.0,1,14,2,3,0,3,0
24,130000,70.0,24000,1149.0,0,18,3,0,3,1,0
25,135000,80.0,24000,1099.0,0,18,2,4,3,1,0
24,135000,40.0,24000,1379.0,0,18,2,2,3,2,0
23,114750,20.0,24000,2003.0,1,18,3,3,3,6,1
23,150000,0.0,24000,749.0,0,16,4,1,3,0,0
23,138000,70.0,24000,160.0,1,17,2,0,3,3,1
24,18000,60.0,13000,788.0,1,72,3,4,2,0,0
21,18000,0.0,6250,1062.0,1,35,4,5,2,1,0
26,155000,70.0,24000,1099.0,0,15,4,0,3,1,0
26,148000,10.0,24000,183.0,1,16,2,1,3,5,0
21,18000,10.0,2500,1136.0,0,14,3,4,2,1,0
23,120000,40.0,23750,1347.0,0,2,2,3,3,2,0
24,54996,20.0,23600,1189.0,1,43,3,4,3,1,0
24,18000,0.0,10000,1218.0,1,56,2,0,0,1,0
25,102000,90.0,23600,1349.0,0,23,4,0,3,2,0
23,75000,30.0,23575,145.0,1,31,4,4,3,4,0
22,18000,10.0,5400,1531.0,1,3,2,3,2,3,1
22,66960,10.0,23400,749.0,1,35,2,5,3,0,0
23,60000,20.0,23000,1218.0,1,38,4,5,3,1,0
24,18000,30.0,1200,1134.0,0,7,4,5,0,2,1
25,63208,90.0,23000,991.0,1,36,3,1,3,1,0
24,65000,0.0,23000,1199.0,1,35,4,2,3,1,0
23,68000,70.0,23000,962.0,1,34,2,1,3,1,0
22,18000,10.0,3000,996.0,1,17,3,0,2,1,0
24,88000,10.0,23000,1454.0,1,26,2,5,3,3,0
22,58600,50.0,22750,1136.0,1,39,4,3,3,1,0
23,70000,70.0,22500,1427.0,1,32,2,0,3,2,0
24,18287,30.0,3000,1199.0,1,16,3,2,2,1,0
26,69846,20.0,22500,1899.0,1,32,2,1,3,5,1
24,73000,0.0,22400,167.0,1,31,4,5,3,4,1
24,18500,80.0,5000,932.0,1,27,3,4,0,0,0
23,35000,20.0,22250,1269.0,1,64,3,0,3,1,0
25,43000,90.0,22000,1311.0,1,51,2,2,3,2,0
25,52000,40.0,22000,1074.0,1,42,2,4,3,1,0
21,18701,0.0,4200,1411.0,1,22,4,4,0,3,1
22,57000,60.0,22000,963.0,1,39,3,1,3,1,0
25,58000,0.0,22000,1465.0,1,38,2,3,3,2,0
23,60000,60.0,22000,1025.0,1,37,4,0,3,1,0
24,60000,30.0,22000,1426.0,1,37,2,5,3,2,1
25,18840,50.0,3000,991.0,1,16,2,1,0,1,0
26,56000,70.0,22000,1719.0,1,39,3,3,3,4,0
22,70000,30.0,22000,1136.0,1,31,4,1,3,1,0
23,74064,30.0,22000,1059.0,0,3,3,0,3,1,0
24,76597,50.0,22000,925.0,0,29,2,1,3,1,0
22,19000,60.0,3625,849.0,1,19,3,3,2,0,0
26,77000,0.0,22000,654.0,0,29,3,5,3,0,0
